Geneid,Auxin1,Auxin2,Control1,Control2
FBgn0031081,28,38,45,37
FBgn0052826,5868,6738,7247,8371
FBgn0031085,0,0,0,0
FBgn0062565,175,164,69,71
FBgn0031088,10,11,20,16
FBgn0041626,172,160,68,70
FBgn0040784,4,6,2,2
FBgn0031086,4,4,1,4
FBgn0031082,0,0,0,0
FBgn0031080,0,0,6,5
FBgn0052821,0,0,0,0
FBgn0053217,417,399,612,560
FBgn0052350,572,644,564,620
FBgn0024733,2209,2380,2549,2800
FBgn0040372,1077,1153,781,926
FBgn0000316,226,253,166,234
FBgn0024989,116,163,110,119
FBgn0040371,34,24,21,29
FBgn0029521,13,15,6,11
FBgn0004034,391,496,225,304
FBgn0000022,1,1,0,0
FBgn0004170,3,2,3,1
FBgn0002561,0,0,0,0
FBgn0000137,0,1,1,1
FBgn0029522,224,253,142,181
FBgn0052817,697,791,515,520
FBgn0029524,670,753,474,491
FBgn0023536,98,99,88,81
FBgn0023534,232,216,106,117
FBgn0023535,235,311,239,325
FBgn0023537,1780,1790,1715,1779
FBgn0029525,502,490,423,457
FBgn0029523,921,995,698,735
FBgn0010019,28,28,21,33
FBgn0011822,2,5,0,0
FBgn0052816,247,283,233,267
FBgn0040370,155,190,88,109
FBgn0040373,36,29,30,41
FBgn0000108,17,20,9,7
FBgn0025640,179,206,121,156
FBgn0025635,186,216,154,150
FBgn0001341,172,163,192,175
FBgn0003575,1522,1626,1283,1266
FBgn0025634,491,496,422,404
FBgn0025638,563,657,454,465
FBgn0040383,711,773,697,730
FBgn0040382,283,278,174,173
FBgn0027343,163,199,110,91
FBgn0025621,884,940,748,834
FBgn0029535,0,1,0,0
FBgn0026874,67,58,30,45
FBgn0025616,157,163,65,94
FBgn0015799,703,675,404,498
FBgn0025620,3,5,3,4
FBgn0015288,1246,1296,1175,1186
FBgn0029532,0,1,1,1
FBgn0029531,1,0,3,2
FBgn0025639,1030,1069,846,923
FBgn0002579,826,819,710,735
FBgn0026879,141,143,89,127
FBgn0029529,141,151,103,119
FBgn0025633,969,1004,689,685
FBgn0040892,0,0,0,0
FBgn0040341,0,0,0,0
FBgn0029539,11,10,22,20
FBgn0040339,189,197,167,178
FBgn0052815,173,121,144,130
FBgn0040340,749,749,529,687
FBgn0040347,437,467,336,397
FBgn0042146,0,0,0,0
FBgn0029552,0,0,0,1
FBgn0040337,189,204,116,146
FBgn0040398,2700,2883,2009,2164
FBgn0040365,1,2,0,1
FBgn0040397,1008,1208,889,978
FBgn0026143,253,291,211,206
FBgn0040351,19,21,16,12
FBgn0040338,17,18,3,5
FBgn0040350,11,9,14,14
FBgn0040349,0,0,0,0
FBgn0040348,95,113,40,32
FBgn0040346,306,349,208,280
FBgn0040342,9,10,10,9
FBgn0040345,1,6,0,1
FBgn0040343,12,7,9,5
FBgn0052814,4,12,2,8
FBgn0040364,141,145,86,90
FBgn0040362,0,0,0,0
FBgn0040361,2,2,1,2
FBgn0040360,2,0,4,3
FBgn0040359,6,4,3,11
FBgn0040358,1,2,0,1
FBgn0029568,2,3,1,0
FBgn0040357,0,1,0,0
FBgn0040367,18,16,30,35
FBgn0025642,378,442,119,113
FBgn0004650,8,13,4,8
FBgn0024362,236,316,207,221
FBgn0024361,8,10,3,6
FBgn0024364,279,358,287,311
FBgn0029573,4,8,4,1
FBgn0024987,823,939,724,759
FBgn0023169,310,383,276,285
FBgn0052813,1247,1463,1234,1386
FBgn0024985,520,555,468,492
FBgn0027794,241,265,164,209
FBgn0027795,71,79,69,72
FBgn0024986,253,267,194,181
FBgn0000826,50,43,30,37
FBgn0024365,629,640,504,559
FBgn0024360,141,175,109,122
FBgn0024366,9,8,5,4
FBgn0025641,270,256,137,172
FBgn0052811,0,0,0,0
FBgn0028550,2089,2175,1817,1878
FBgn0026876,443,518,357,428
FBgn0040366,225,221,132,178
FBgn0040363,8,7,9,8
FBgn0040368,2,1,0,2
FBgn0026872,667,741,477,541
FBgn0029580,151,160,116,110
FBgn0025383,164,151,116,137
FBgn0025381,1787,2020,1470,1784
FBgn0025394,404,417,251,295
FBgn0000482,316,379,248,268
FBgn0001189,259,240,159,197
FBgn0029587,8,10,4,6
FBgn0024897,2,5,3,1
FBgn0025391,72,85,48,92
FBgn0025378,1,2,2,4
FBgn0023130,266,312,194,248
FBgn0023530,357,400,263,283
FBgn0025390,127,120,68,82
FBgn0025393,75,97,118,130
FBgn0003517,2428,2279,2294,2365
FBgn0044508,27,19,26,16
FBgn0025382,421,389,288,284
FBgn0052808,48,35,18,23
FBgn0027791,581,590,323,441
FBgn0027793,155,167,122,143
FBgn0052806,20,27,7,17
FBgn0026873,224,265,183,180
FBgn0023513,453,495,374,393
FBgn0014411,1135,1383,873,971
FBgn0023514,687,827,693,728
FBgn0029594,513,505,404,370
FBgn0023519,278,298,226,248
FBgn0023509,288,303,208,179
FBgn0023510,694,699,504,483
FBgn0023508,504,611,417,511
FBgn0023522,210,229,159,164
FBgn0023521,72,95,56,77
FBgn0025627,36,52,27,35
FBgn0025630,877,1068,655,793
FBgn0025629,406,480,369,393
FBgn0029596,392,302,320,344
FBgn0025626,777,866,609,722
FBgn0025625,113,142,67,58
FBgn0025631,2462,2516,2164,2401
FBgn0026878,78,108,44,58
FBgn0000667,1700,1788,1254,1282
FBgn0003964,1083,1205,762,869
FBgn0023545,144,178,130,141
FBgn0023520,124,118,100,88
FBgn0023512,504,550,396,511
FBgn0023511,712,750,525,616
FBgn0052801,160,162,131,134
FBgn0023518,1024,1127,884,996
FBgn0026088,330,393,249,274
FBgn0026089,644,807,495,574
FBgn0023517,802,953,520,662
FBgn0023516,562,610,428,567
FBgn0023515,575,496,447,441
FBgn0028969,2173,2504,1957,2219
FBgn0026090,830,976,694,772
FBgn0029590,3,5,0,2
FBgn0025624,427,602,435,464
FBgn0040395,4564,4764,3906,4026
FBgn0000382,1264,1343,1008,956
FBgn0023507,680,701,961,959
FBgn0004654,1519,1778,1403,1346
FBgn0023540,70,62,42,43
FBgn0025839,122,148,108,117
FBgn0011576,75,83,66,64
