Geneid,CHD1fem1,CHD1fem2,CHD1male1,CHD1male2,OREfem1,OREfem2,OREmale1,OREmale2
FBgn0031081,300,184,761,361,641,523,1145,973
FBgn0052826,0,3,0,1,2,0,1,3
FBgn0031085,10,4,26,11,17,15,60,46
FBgn0062565,2,0,0,2,0,0,0,2
FBgn0031088,10,6,7,8,19,29,15,8
FBgn0041626,0,0,0,0,0,0,2,0
FBgn0040784,0,0,0,0,0,0,0,0
FBgn0031086,2,0,0,0,0,0,0,2
FBgn0031082,6,2,0,0,7,3,3,4
FBgn0031080,16,13,34,11,105,64,144,119
FBgn0052821,0,0,0,0,0,0,0,0
FBgn0053217,58,28,65,57,139,117,169,146
FBgn0052350,54,32,138,48,205,180,187,203
FBgn0024733,1093,741,1507,631,3725,2990,2781,2399
FBgn0040372,431,208,744,248,917,772,1288,1194
FBgn0000316,120,82,175,59,243,252,255,257
FBgn0024989,8,2,33,16,22,10,19,23
FBgn0040371,2,0,0,0,6,8,8,11
FBgn0029521,2,2,2,6,5,6,15,8
FBgn0004034,0,0,2,0,8,2,0,4
FBgn0000022,0,0,0,0,0,0,1,0
FBgn0004170,0,0,0,0,0,0,2,0
FBgn0002561,0,0,0,0,0,0,1,1
FBgn0000137,0,2,2,2,0,0,6,6
FBgn0029522,0,0,0,0,0,0,0,0
FBgn0052817,10,2,7,4,3,2,12,10
FBgn0029524,0,0,2,2,11,0,6,2
FBgn0023536,54,12,74,24,98,70,116,108
FBgn0023534,70,28,118,60,298,226,418,358
FBgn0023535,13,18,2,0,39,22,4,0
FBgn0023537,429,330,949,310,1356,1240,1797,1542
FBgn0029525,72,68,155,61,185,142,241,219
FBgn0029523,9,7,36,20,42,28,56,67
FBgn0010019,676,1032,19,285,17,33,64,59
FBgn0011822,0,0,0,0,2,0,0,0
FBgn0052816,16,4,19,7,66,41,50,56
FBgn0040370,195,86,373,167,526,451,707,630
FBgn0040373,4,8,19,4,10,10,22,4
FBgn0000108,3383,1941,7695,3376,8853,6969,14276,12544
FBgn0025640,115,58,157,82,237,190,303,254
FBgn0025635,41,17,95,30,136,58,169,168
FBgn0001341,74,42,130,44,109,104,215,183
FBgn0003575,448,267,754,277,994,749,1227,1074
FBgn0025634,54,39,117,34,159,100,212,162
FBgn0025638,103,90,260,113,255,234,366,358
FBgn0040383,96,66,208,73,166,125,262,188
FBgn0040382,2018,1116,3221,1487,3784,2527,6684,5341
FBgn0027343,73,37,85,21,58,76,137,102
FBgn0025621,379,282,512,197,734,508,905,725
FBgn0029535,4,0,13,4,13,16,25,16
FBgn0026874,2,0,0,2,4,4,5,4
FBgn0025616,0,2,0,5,2,2,0,0
FBgn0015799,146,127,331,135,441,332,675,578
FBgn0025620,172,130,113,40,226,92,265,198
FBgn0015288,1514,1237,1925,655,3499,3423,3560,2609
FBgn0029532,7,4,12,6,10,14,2,8
FBgn0029531,2,0,14,4,8,4,10,8
FBgn0025639,1127,562,1731,650,2006,1548,2604,2336
FBgn0002579,910,677,1443,816,3153,3003,3231,2783
FBgn0026879,47,22,79,38,153,106,108,75
FBgn0029529,40,26,37,22,54,62,124,64
FBgn0025633,344,245,603,275,938,736,1392,1154
FBgn0040892,13,10,15,11,28,18,46,27
FBgn0040341,34,22,80,18,101,81,145,115
FBgn0029539,0,2,3,2,6,8,5,1
FBgn0040339,23,8,47,8,41,35,61,52
FBgn0052815,250,106,492,191,563,468,1012,732
FBgn0040340,223,211,350,106,441,332,547,427
FBgn0040347,10,4,30,15,53,24,109,50
FBgn0042146,0,0,0,4,0,0,0,2
FBgn0029552,2,2,0,2,2,2,2,3
FBgn0040337,30,22,104,43,112,86,139,110
FBgn0040398,1238,1001,1877,819,1798,943,1863,1766
FBgn0040365,0,0,0,0,0,0,2,0
FBgn0040397,273,152,566,189,671,587,920,824
FBgn0026143,73,26,103,33,89,62,169,130
FBgn0040351,125,55,236,121,236,215,519,463
FBgn0040338,0,0,0,0,0,0,0,0
FBgn0040350,2,0,10,6,12,8,24,18
FBgn0040349,114,108,145,45,127,112,211,181
FBgn0040348,224,150,420,146,469,464,934,768
FBgn0040346,49,42,105,51,117,111,277,196
FBgn0040342,4,2,35,5,17,26,63,59
FBgn0040345,8,13,19,14,25,25,64,45
FBgn0040343,4,6,19,4,27,34,37,38
FBgn0052814,1,5,7,6,10,11,21,11
FBgn0040364,95,54,237,76,106,70,220,180
FBgn0040362,0,2,0,0,0,0,0,2
FBgn0040361,0,0,2,0,58,27,38,41
FBgn0040360,4,0,4,2,30,16,4,0
FBgn0040359,0,0,4,0,4,14,10,4
FBgn0040358,0,2,0,2,16,5,14,14
FBgn0029568,0,0,0,0,0,2,0,6
FBgn0040357,2,0,2,0,50,64,74,52
FBgn0040367,0,6,6,0,34,51,69,57
FBgn0025642,5,3,18,6,9,14,13,25
FBgn0004650,6,1,16,4,6,2,16,14
FBgn0024362,133,81,237,85,325,251,416,367
FBgn0024361,9,6,23,8,26,20,51,33
FBgn0024364,40,35,84,12,135,89,168,181
FBgn0029573,1,0,4,1,8,6,16,29
FBgn0024987,799,464,1319,470,1316,955,2307,2136
FBgn0023169,814,516,1368,417,1555,1358,2492,1940
FBgn0052813,276,120,342,132,438,313,716,558
FBgn0024985,814,477,1509,535,1924,1346,2765,2220
FBgn0027794,314,259,413,210,410,336,726,651
FBgn0027795,18,7,38,10,63,41,108,94
FBgn0024986,88,60,108,66,193,123,278,221
FBgn0000826,2,0,12,5,0,2,21,25
FBgn0024365,260,199,488,211,501,370,709,678
FBgn0024360,50,30,129,35,136,97,182,191
FBgn0024366,6,6,28,11,10,8,40,24
FBgn0025641,991,547,1716,654,2274,1655,3091,2597
FBgn0052811,2,2,8,2,15,10,10,4
FBgn0028550,839,350,1076,455,1648,921,1675,1567
FBgn0026876,8,8,22,14,36,19,69,62
FBgn0040366,18,10,24,14,52,48,118,81
FBgn0040363,4,0,6,0,0,9,4,4
FBgn0040368,0,0,0,0,0,0,3,6
FBgn0026872,141,71,197,92,189,185,388,314
FBgn0029580,38,12,52,12,45,42,95,78
FBgn0025383,0,0,6,2,8,0,20,12
FBgn0025381,313,189,547,153,694,501,913,753
FBgn0025394,285,138,486,183,585,443,866,617
FBgn0000482,156,86,291,106,326,254,557,426
FBgn0001189,172,85,305,122,257,282,342,377
FBgn0029587,29,17,61,33,67,149,143,119
FBgn0024897,32,45,110,14,53,130,147,91
FBgn0025391,94,75,196,59,210,169,295,291
FBgn0025378,2,0,0,0,0,0,0,0
FBgn0023130,100,81,241,64,280,224,545,411
FBgn0023530,20,20,25,10,66,66,64,80
FBgn0025390,406,274,513,159,744,610,826,734
FBgn0025393,0,0,0,0,0,0,0,0
FBgn0003517,4110,2867,4593,1647,13407,11139,9439,7712
FBgn0044508,0,0,0,0,0,0,0,0
FBgn0025382,61,32,113,45,86,81,172,162
FBgn0052808,23,13,67,30,63,58,129,86
FBgn0027791,51,37,86,30,117,93,167,137
FBgn0027793,0,2,14,6,10,2,19,17
FBgn0052806,8,2,17,10,14,16,19,20
FBgn0026873,24,14,32,22,48,24,62,56
FBgn0023513,32,25,106,36,72,56,216,138
FBgn0014411,246,137,506,189,504,368,697,587
