Geneid,CHD1fem1,CHD1fem2,OREfem1,OREfem2
FBgn0031081,300,184,641,523
FBgn0052826,0,3,2,0
FBgn0031085,10,4,17,15
FBgn0062565,2,0,0,0
FBgn0031088,10,6,19,29
FBgn0041626,0,0,0,0
FBgn0040784,0,0,0,0
FBgn0031086,2,0,0,0
FBgn0031082,6,2,7,3
FBgn0031080,16,13,105,64
FBgn0052821,0,0,0,0
FBgn0053217,58,28,139,117
FBgn0052350,54,32,205,180
FBgn0024733,1093,741,3725,2990
FBgn0040372,431,208,917,772
FBgn0000316,120,82,243,252
FBgn0024989,8,2,22,10
FBgn0040371,2,0,6,8
FBgn0029521,2,2,5,6
FBgn0004034,0,0,8,2
FBgn0000022,0,0,0,0
FBgn0004170,0,0,0,0
FBgn0002561,0,0,0,0
FBgn0000137,0,2,0,0
FBgn0029522,0,0,0,0
FBgn0052817,10,2,3,2
FBgn0029524,0,0,11,0
FBgn0023536,54,12,98,70
FBgn0023534,70,28,298,226
FBgn0023535,13,18,39,22
FBgn0023537,429,330,1356,1240
FBgn0029525,72,68,185,142
FBgn0029523,9,7,42,28
FBgn0010019,676,1032,17,33
FBgn0011822,0,0,2,0
FBgn0052816,16,4,66,41
FBgn0040370,195,86,526,451
FBgn0040373,4,8,10,10
FBgn0000108,3383,1941,8853,6969
FBgn0025640,115,58,237,190
FBgn0025635,41,17,136,58
FBgn0001341,74,42,109,104
FBgn0003575,448,267,994,749
FBgn0025634,54,39,159,100
FBgn0025638,103,90,255,234
FBgn0040383,96,66,166,125
FBgn0040382,2018,1116,3784,2527
FBgn0027343,73,37,58,76
FBgn0025621,379,282,734,508
FBgn0029535,4,0,13,16
FBgn0026874,2,0,4,4
FBgn0025616,0,2,2,2
FBgn0015799,146,127,441,332
FBgn0025620,172,130,226,92
FBgn0015288,1514,1237,3499,3423
FBgn0029532,7,4,10,14
FBgn0029531,2,0,8,4
FBgn0025639,1127,562,2006,1548
FBgn0002579,910,677,3153,3003
FBgn0026879,47,22,153,106
FBgn0029529,40,26,54,62
FBgn0025633,344,245,938,736
FBgn0040892,13,10,28,18
FBgn0040341,34,22,101,81
FBgn0029539,0,2,6,8
FBgn0040339,23,8,41,35
FBgn0052815,250,106,563,468
FBgn0040340,223,211,441,332
FBgn0040347,10,4,53,24
FBgn0042146,0,0,0,0
FBgn0029552,2,2,2,2
FBgn0040337,30,22,112,86
