Geneid,CHD1male1,CHD1male2,OREmale1,OREmale2
FBgn0031081,761,361,1145,973
FBgn0052826,0,1,1,3
FBgn0031085,26,11,60,46
FBgn0062565,0,2,0,2
FBgn0031088,7,8,15,8
FBgn0041626,0,0,2,0
FBgn0040784,0,0,0,0
FBgn0031086,0,0,0,2
FBgn0031082,0,0,3,4
FBgn0031080,34,11,144,119
FBgn0052821,0,0,0,0
FBgn0053217,65,57,169,146
FBgn0052350,138,48,187,203
FBgn0024733,1507,631,2781,2399
FBgn0040372,744,248,1288,1194
FBgn0000316,175,59,255,257
FBgn0024989,33,16,19,23
FBgn0040371,0,0,8,11
FBgn0029521,2,6,15,8
FBgn0004034,2,0,0,4
FBgn0000022,0,0,1,0
FBgn0004170,0,0,2,0
FBgn0002561,0,0,1,1
FBgn0000137,2,2,6,6
FBgn0029522,0,0,0,0
FBgn0052817,7,4,12,10
FBgn0029524,2,2,6,2
FBgn0023536,74,24,116,108
FBgn0023534,118,60,418,358
FBgn0023535,2,0,4,0
FBgn0023537,949,310,1797,1542
FBgn0029525,155,61,241,219
FBgn0029523,36,20,56,67
FBgn0010019,19,285,64,59
FBgn0011822,0,0,0,0
FBgn0052816,19,7,50,56
FBgn0040370,373,167,707,630
FBgn0040373,19,4,22,4
FBgn0000108,7695,3376,14276,12544
FBgn0025640,157,82,303,254
FBgn0025635,95,30,169,168
FBgn0001341,130,44,215,183
FBgn0003575,754,277,1227,1074
FBgn0025634,117,34,212,162
FBgn0025638,260,113,366,358
FBgn0040383,208,73,262,188
FBgn0040382,3221,1487,6684,5341
FBgn0027343,85,21,137,102
FBgn0025621,512,197,905,725
FBgn0029535,13,4,25,16
FBgn0026874,0,2,5,4
FBgn0025616,0,5,0,0
FBgn0015799,331,135,675,578
FBgn0025620,113,40,265,198
FBgn0015288,1925,655,3560,2609
FBgn0029532,12,6,2,8
FBgn0029531,14,4,10,8
FBgn0025639,1731,650,2604,2336
FBgn0002579,1443,816,3231,2783
FBgn0026879,79,38,108,75
FBgn0029529,37,22,124,64
FBgn0025633,603,275,1392,1154
FBgn0040892,15,11,46,27
FBgn0040341,80,18,145,115
FBgn0029539,3,2,5,1
FBgn0040339,47,8,61,52
FBgn0052815,492,191,1012,732
FBgn0040340,350,106,547,427
FBgn0040347,30,15,109,50
FBgn0042146,0,4,0,2
FBgn0029552,0,2,2,3
FBgn0040337,104,43,139,110
FBgn0040398,1877,819,1863,1766
FBgn0040365,0,0,2,0
FBgn0040397,566,189,920,824
FBgn0026143,103,33,169,130
FBgn0040351,236,121,519,463
FBgn0040338,0,0,0,0
FBgn0040350,10,6,24,18
FBgn0040349,145,45,211,181
FBgn0040348,420,146,934,768
FBgn0040346,105,51,277,196
FBgn0040342,35,5,63,59
FBgn0040345,19,14,64,45
FBgn0040343,19,4,37,38
FBgn0052814,7,6,21,11
FBgn0040364,237,76,220,180
FBgn0040362,0,0,0,2
FBgn0040361,2,0,38,41
FBgn0040360,4,2,4,0
FBgn0040359,4,0,10,4
FBgn0040358,0,2,14,14
FBgn0029568,0,0,0,6
FBgn0040357,2,0,74,52
FBgn0040367,6,0,69,57
FBgn0025642,18,6,13,25
FBgn0004650,16,4,16,14
FBgn0024362,237,85,416,367
FBgn0024361,23,8,51,33
FBgn0024364,84,12,168,181
FBgn0029573,4,1,16,29
FBgn0024987,1319,470,2307,2136
FBgn0023169,1368,417,2492,1940
FBgn0052813,342,132,716,558
FBgn0024985,1509,535,2765,2220
FBgn0027794,413,210,726,651
FBgn0027795,38,10,108,94
FBgn0024986,108,66,278,221
FBgn0000826,12,5,21,25
FBgn0024365,488,211,709,678
FBgn0024360,129,35,182,191
FBgn0024366,28,11,40,24
FBgn0025641,1716,654,3091,2597
FBgn0052811,8,2,10,4
FBgn0028550,1076,455,1675,1567
FBgn0026876,22,14,69,62
FBgn0040366,24,14,118,81
FBgn0040363,6,0,4,4
FBgn0040368,0,0,3,6
FBgn0026872,197,92,388,314
FBgn0029580,52,12,95,78
FBgn0025383,6,2,20,12
FBgn0025381,547,153,913,753
FBgn0025394,486,183,866,617
FBgn0000482,291,106,557,426
FBgn0001189,305,122,342,377
FBgn0029587,61,33,143,119
FBgn0024897,110,14,147,91
FBgn0025391,196,59,295,291
FBgn0025378,0,0,0,0
FBgn0023130,241,64,545,411
FBgn0023530,25,10,64,80
FBgn0025390,513,159,826,734
FBgn0025393,0,0,0,0
FBgn0003517,4593,1647,9439,7712
FBgn0044508,0,0,0,0
FBgn0025382,113,45,172,162
FBgn0052808,67,30,129,86
FBgn0027791,86,30,167,137
FBgn0027793,14,6,19,17
FBgn0052806,17,10,19,20
FBgn0026873,32,22,62,56
FBgn0023513,106,36,216,138
FBgn0014411,506,189,697,587
FBgn0023514,122,28,231,157
FBgn0029594,97,46,140,168
FBgn0023519,91,34,154,130
FBgn0023509,311,94,568,460
FBgn0023510,1756,672,2775,2435
FBgn0023508,787,321,1329,1185
FBgn0023522,131,44,274,209
FBgn0023521,24,10,32,34
FBgn0025627,36,16,83,62
FBgn0025630,97,54,256,220
FBgn0025629,83,27,147,168
FBgn0029596,3,0,3,5
FBgn0025626,293,126,494,431
FBgn0025625,1256,512,2546,2176
FBgn0025631,737,331,1345,1077
FBgn0026878,25,8,43,51
FBgn0000667,1271,516,1545,1348
FBgn0003964,522,159,778,678
FBgn0023545,125,48,305,220
FBgn0023520,43,13,80,77
FBgn0023512,192,102,380,346
FBgn0023511,528,251,929,722
FBgn0052801,0,0,0,0
FBgn0023518,1101,376,1957,1601
FBgn0026088,88,41,150,147
FBgn0026089,68,22,118,104
FBgn0023517,44,8,102,40
FBgn0023516,269,151,476,422
FBgn0023515,80,32,147,110
FBgn0028969,480,189,804,639
FBgn0026090,128,48,196,136
FBgn0029590,4,0,0,4
FBgn0025624,149,64,303,286
FBgn0040395,1607,771,3388,2921
FBgn0000382,4374,1624,8271,7159
FBgn0023507,975,368,2045,1712
FBgn0004654,650,215,1125,968
FBgn0023540,219,68,452,405
FBgn0025839,233,108,452,402
FBgn0011576,0,0,0,0
FBgn0015036,3,0,0,1
FBgn0003116,125,60,217,178
FBgn0040899,16,6,64,32
FBgn0040900,25,2,33,38
FBgn0024984,0,0,4,1
FBgn0023549,377,119,347,292
FBgn0029606,6,0,10,7
FBgn0003048,1761,579,2791,2295
FBgn0000810,252,90,348,378
FBgn0023523,19,12,11,13
FBgn0023527,156,50,178,189
FBgn0040391,40,5,27,23
FBgn0053218,6,4,9,4
FBgn0003079,434,161,661,601
FBgn0003159,738,223,1228,1015
FBgn0040389,65,28,107,60
FBgn0044047,339,146,259,239
FBgn0040392,28,8,22,26
FBgn0023526,441,162,1238,1187
FBgn0023529,904,413,1896,1583
FBgn0023528,600,292,1008,933
FBgn0027296,291,108,363,335
FBgn0023524,658,268,1503,1217
FBgn0023525,94,36,166,122
FBgn0000377,137,63,209,202
FBgn0001330,121,58,197,160
FBgn0004397,1650,579,3010,2429
FBgn0023550,101,24,97,85
FBgn0029603,15,2,15,11
FBgn0023542,178,86,256,183
FBgn0023541,0,0,0,0
FBgn0005670,68,49,39,35
FBgn0004655,1233,486,2232,1852
FBgn0013432,76,40,130,108
FBgn0004861,751,266,1259,1088
FBgn0004860,610,247,1209,988
FBgn0040394,202,78,319,279
FBgn0040376,16,4,60,34
FBgn0040066,108,54,196,157
FBgn0001404,1279,541,1848,1745
FBgn0040336,84,28,116,82
FBgn0040333,15,2,45,48
FBgn0040334,91,43,115,75
FBgn0029629,260,113,533,422
FBgn0011566,146,24,150,148
FBgn0011606,54,14,56,46
FBgn0040375,100,49,219,210
FBgn0040377,57,35,177,119
FBgn0040388,71,30,117,122
FBgn0003714,111,51,226,153
FBgn0001150,96,23,229,152
FBgn0052797,4,2,12,11
FBgn0040385,6,2,12,4
FBgn0003371,4092,1784,8261,6905
FBgn0003068,1488,716,3672,2809
FBgn0024993,34,16,81,71
FBgn0024996,101,56,221,220
FBgn0024997,139,70,574,484
FBgn0024991,77,12,86,128
FBgn0000928,26,2,22,16
FBgn0000927,7,2,6,2
FBgn0000520,146,74,260,226
FBgn0024975,51,18,52,79
FBgn0040356,1,4,2,10
FBgn0003996,20,2,210,135
FBgn0040384,265,102,472,491
FBgn0024980,117,38,159,176
FBgn0000376,291,118,511,438
FBgn0024973,223,91,362,282
FBgn0024998,101,34,209,186
FBgn0024995,58,30,192,139
FBgn0024994,114,54,136,111
FBgn0024992,272,119,469,393
FBgn0000092,19,14,26,8
FBgn0025838,4,2,0,0
FBgn0011276,8,6,24,15
FBgn0004647,822,371,1087,988
FBgn0040396,42,24,99,67
FBgn0000479,3200,1298,5398,4910
FBgn0002933,0,2,6,0
FBgn0003374,7,1,10,12
FBgn0029660,12,8,14,14
FBgn0029662,9,2,41,22
FBgn0029661,18,8,18,10
FBgn0029659,10,0,13,18
FBgn0029658,0,0,4,8
FBgn0052493,0,0,1,0
FBgn0029657,17,2,25,21
FBgn0003086,8,0,13,16
FBgn0010296,0,0,0,2
FBgn0010295,4,2,2,6
FBgn0010294,2,0,4,0
FBgn0040393,4,2,7,12
FBgn0000644,8,2,12,4
FBgn0028746,45,12,32,44
FBgn0040355,11,2,18,13
FBgn0052793,25,16,36,19
FBgn0029642,7,4,11,5
FBgn0025645,10,0,8,3
FBgn0029643,13,8,18,13
FBgn0029644,18,1,4,16
FBgn0029645,8,2,13,8
FBgn0029646,6,0,16,14
FBgn0029647,3,0,12,9
FBgn0029648,64,32,82,65
FBgn0028369,490,190,894,875
FBgn0029649,0,2,2,0
FBgn0003285,312,117,342,317
FBgn0025644,9,4,16,8
FBgn0029639,111,72,107,107
FBgn0040354,14,0,15,21
FBgn0040353,11,4,14,20
FBgn0040352,2,0,10,2
FBgn0029664,101,54,194,163
FBgn0029666,308,137,545,516
FBgn0029669,5,4,5,13
FBgn0052792,16,9,58,43
FBgn0044046,6,3,18,12
FBgn0023215,1516,604,2543,2363
FBgn0015286,367,146,519,551
FBgn0023216,140,38,184,198
FBgn0029672,50,33,152,132
FBgn0052791,210,104,553,493
FBgn0029667,9,6,13,34
FBgn0029665,45,14,98,52
FBgn0029663,696,330,1159,1054
FBgn0052785,0,0,2,0
FBgn0025118,0,0,1,7
FBgn0028491,165,77,178,137
FBgn0029681,2,2,7,4
FBgn0029686,51,19,102,83
FBgn0052786,0,0,0,3
FBgn0052783,2,2,5,9
FBgn0029687,1601,714,2644,2664
FBgn0029690,0,0,0,0
FBgn0029689,148,45,245,217
FBgn0029688,3350,1231,5452,4494
FBgn0029685,317,107,475,410
FBgn0019661,24007,10138,39188,37149
FBgn0029694,0,0,0,4
FBgn0000221,30,18,38,50
FBgn0026084,355,156,356,412
FBgn0026085,8,0,7,6
FBgn0026083,2972,963,5159,4524
FBgn0066114,89,46,169,156
FBgn0029697,0,0,2,2
FBgn0029701,0,0,0,0
FBgn0029702,0,0,0,0
FBgn0029706,434,132,592,512
FBgn0029705,44,16,102,68
FBgn0040907,14,8,21,38
FBgn0002707,126,35,148,129
FBgn0040906,4,0,8,6
FBgn0029703,0,0,0,2
FBgn0040905,0,0,0,0
FBgn0040904,0,0,0,0
FBgn0029700,0,0,0,0
FBgn0052774,0,0,0,0
FBgn0041252,0,0,0,2
FBgn0029696,0,0,0,0
FBgn0000635,1244,489,2145,1886
FBgn0026080,125,51,216,169
FBgn0026079,119,42,156,157
FBgn0004832,34,18,120,109
FBgn0029693,316,123,603,459
FBgn0000179,471,181,877,762
FBgn0029708,973,400,1722,1444
FBgn0029709,280,93,410,314
FBgn0029710,16,6,44,47
FBgn0029712,11,10,21,41
FBgn0029714,44,20,100,67
FBgn0029716,0,0,0,0
FBgn0022768,1375,467,2327,2030
FBgn0029715,178,101,278,317
FBgn0029713,89,25,183,123
FBgn0029711,355,140,507,421
FBgn0003210,831,375,1186,1111
FBgn0052773,4,0,8,12
FBgn0011760,2372,1047,4420,4328
FBgn0028325,1296,493,2114,1916
FBgn0029722,8,4,30,29
FBgn0029727,12,0,12,14
FBgn0029729,0,0,0,0
FBgn0029730,43,16,87,78
FBgn0029733,2,0,6,2
FBgn0052772,449,156,737,609
FBgn0029737,386,111,606,546
FBgn0004368,1307,499,2296,1778
FBgn0029740,0,0,0,3
FBgn0061196,0,0,0,2
FBgn0029728,14,4,12,24
FBgn0029726,2,0,0,6
FBgn0029725,4,0,5,0
FBgn0025679,2,0,4,2
