"id","chr","Auxin1","Auxin2","Control1","Control2"
"FBgn0000003","chr3R",1526.13659723923,1534.06946129834,1779.3490662523,1794.44538651287
"FBgn0000008","chr2R",1.41937753204504,1.22035646395285,1.45296938658066,1.28305968572415
"FBgn0000014","chr3R",0.0343565476481778,0.022632090307445,0.0281743154833802,0.0261412060665937
"FBgn0000015","chr3R",0.103580434772365,0.0944761164853007,0.0792405467343522,0.0787453091307603
"FBgn0000017","chr3L",6.04100677024509,5.88936382490178,4.78138449656098,4.88721823803086
"FBgn0000018","chr2L",11.5559408708823,12.3667599434149,8.79944328489098,9.20090595478063
"FBgn0000024","chr3R",0.2407753052932,0.232114758757407,0.375882504126541,0.351726299159597
"FBgn0000028","chrX",0.0105844123712499,0.0199977445899589,0.0169087359474096,0.0100406854829201
"FBgn0000032","chr3R",3.38375706357204,3.27046606409011,1.95215719817003,2.53739626644146
"FBgn0000036","chr3R",0.0382379814382837,0.0355054258640743,0.0234216770774981,0.0194439975014935
"FBgn0000037","chr2R",0.0896812717816805,0.0869110507369681,0.0585006892281991,0.0666858423297238
"FBgn0000042","chrX",94.8633789762895,89.3460652669256,88.3710976860428,80.6826529560561
"FBgn0000043","chr2R",117.464166820029,110.904880482217,84.6460636064271,78.3751625463808
"FBgn0000044","chr2R",11.9271253890659,11.3406511408306,9.44857358312045,9.21709408992403
"FBgn0000045","chr3L",11.8758385946168,10.7416481531166,9.66911547551046,9.2089059696191
"FBgn0000046","chr3R",17.0185959917339,16.7027206419269,12.9672968741032,12.7197188731704
"FBgn0000047","chr3R",12.6234919501499,12.2071127477566,9.03268809599303,9.12638568773554
"FBgn0000052","chr2L",2.16179938133992,1.96770323242954,1.85788426000751,1.89099641037678
"FBgn0000053","chr2L",3.22835173962383,3.10318008120628,3.43461912047348,3.28818579346469
"FBgn0000057","chr2R",2.13670578477125,1.8223458428371,1.49776520843495,1.63537371807676
"FBgn0000063","chr3R",1.69601770025292,1.63245381089327,1.58588998429861,1.54926633337145
"FBgn0000064","chr3R",9.32021141600171,9.79848047925185,8.27572477316284,8.37352139553383
"FBgn0000071","chr3R",4.15757401156698,5.2225731072184,4.82279230931775,5.17310638004746
"FBgn0000075","chr2L",0.0771222665827293,0.0703435186123037,0.0739222922675553,0.0411527558045776
"FBgn0000077","chrX",3.88002456570439,4.69999650325585,3.22414253950061,3.88256252237761
"FBgn0000078","chr2R",0.0135779121762918,0.111460197448708,0.0607344939170195,0.0901628532851002
"FBgn0000079","chr2R",0.0392187445284014,0.131162419913146,0.093560996028138,0.119363015503033
"FBgn0000083","chr3R",17.3426610336501,15.9163630262709,14.8347853474387,13.2065705765855
"FBgn0000084","chrX",15.851999183005,15.9573759561515,17.1212270268531,15.9119569073892
"FBgn0000092","chrX",1.86955143436039,2.04971504060427,1.08122135444649,1.1129233043873
"FBgn0000094","chr3R",1.15490467278298,1.1449924277085,1.25779177724924,0.83359089586743
"FBgn0000097","chr2L",6.96539578301331,6.710184163514,7.73002566651179,7.09748559872224
"FBgn0000100","chr3L",36.7244807945982,35.5824066546646,25.2482288915852,26.1396095264177
"FBgn0000108","chrX",0.00763185904723899,0.00818946853100119,0.00361456755714046,0.00260845965602172
"FBgn0000109","chr3L",3.15137351356361,3.76754893990566,3.201511668317,3.26605544061392
"FBgn0000114","chr2L",0.00346328271194117,0.00215377745478201,0.000422492434243681,0.00130668206078877
"FBgn0000115","chr3L",4.06723205447039,4.1309311157131,3.2890178625136,4.08364426729383
"FBgn0000116","chr3L",0.307061893623823,0.299665883202196,0.150350095604738,0.14789157277546
"FBgn0000117","chrX",4.65080576113976,4.58387346003046,3.31291061891916,3.35951106868956
"FBgn0000119","chr2R",1.20934690352905,1.3220477507384,1.12340032421692,1.01910283240457
"FBgn0000121","chr3L",0.0910733392839633,0.130535972534457,0.0232785343849113,0.03239807004237
"FBgn0000139","chr3R",4.19628904979565,4.26155545243882,3.49616591667572,3.71682565061086
"FBgn0000140","chr3R",2.7142580590707,2.2221512704141,2.15319456705573,1.75351799166399
"FBgn0000146","chr2L",5.68501279381262,7.65840568223476,3.0920284597951,4.99584677733838
"FBgn0000147","chr3R",4.03328610371841,3.0948432223444,3.48220614241976,3.24155190616838
"FBgn0000150","chr3R",70.7475238543451,64.1776732470133,52.7139838932573,49.8094969295972
"FBgn0000152","chrX",1.98114082208621,2.24047882443862,1.87991290722079,1.67771666354023
"FBgn0000153","chr2L",0.279289350605343,0.327524014839209,0.192744730420655,0.178835923064345
"FBgn0000157","chr2R",0.581274035398383,0.589303351442651,0.447995924691149,0.530214996931518
"FBgn0000158","chr3R",0.0421112058800934,0.048012242862366,0.0565094856445312,0.0786474888709706
"FBgn0000163","chrX",0.743329173926999,0.695565607697383,0.731534316889422,0.749374101390533
"FBgn0000166","chr3R",0.0420937757452093,0.0219393692549884,0.0161388845590755,0
"FBgn0000173","chrX",3.94281378638314,3.86051735903269,3.27934671172411,3.08452723693373
"FBgn0000179","chrX",0.0209569649133325,0.0229379148216351,0.0206230782122374,0.0171468402464907
"FBgn0000180","chr2L",0.710213431584198,0.75727379474737,0.234457560240942,0.262374896316081
"FBgn0000181","chr2R",30.4249374017085,29.2430917817666,23.5337319099239,24.0248989304487
"FBgn0000183","chr2L",7.88438732457588,7.50976388379797,6.39449879878248,6.59494732908772
"FBgn0000212","chr3L",1.19469593173589,1.21559924940997,0.981878276413696,0.993072929780786
"FBgn0000221","chrX",3.24857873932149,2.90817013909188,2.44874437792968,2.35942466612912
"FBgn0000228","chr2L",1.74148669038224,1.6437927653066,1.46075363221446,1.48265507978602
"FBgn0000229","chr2L",4.54889486525031,3.9634834911376,3.3933955550929,3.46216788287614
"FBgn0000233","chrX",0.355453795184508,0.282947594946897,0.260174900543104,0.273586905236205
"FBgn0000239","chr2L",7.19023386892406,6.98461616024773,5.68818668215197,5.95839437590723
"FBgn0000241","chr2R",0.00611348860378203,0.0111522733560985,0.00729222837006293,0.0101490120293566
"FBgn0000244","chr3R",30.3534184030004,29.113887743187,30.8550315991582,31.5277070565784
"FBgn0000246","chr3R",0.420976478614585,0.281581138435563,0.288733270179881,0.262073892406486
"FBgn0000247","chr3R",5.74978254860694,5.53159799722981,4.06674808600899,4.01487982284008
"FBgn0000250","chr2L",13.4402001272394,13.6050241388923,13.0243187794586,13.0609408858457
"FBgn0000251","chr2L",0.121225885517852,0.091340930914714,0.179177529055096,0.131248227961068
"FBgn0000253","chr2R",1.01603507721747,0.860168851569543,0.875808235603563,0.6942582668611
"FBgn0000256","chr2L",1.26871959245867,1.19272937287749,1.30148187025987,1.28359865334127
